,datetime,Average Tone
0,2017-08-14 00:00:00+00:00,0.6389
1,2017-08-15 00:00:00+00:00,0.1655
2,2017-08-16 00:00:00+00:00,0.6365
3,2017-08-17 00:00:00+00:00,3.3873
4,2017-08-18 00:00:00+00:00,1.7647
5,2017-08-19 00:00:00+00:00,0.0
6,2017-08-20 00:00:00+00:00,0.0
7,2017-08-21 00:00:00+00:00,4.8942
8,2017-08-22 00:00:00+00:00,0.6959
9,2017-08-23 00:00:00+00:00,0.2453
10,2017-08-24 00:00:00+00:00,1.0985
11,2017-08-25 00:00:00+00:00,0.3712
12,2017-08-26 00:00:00+00:00,2.5618
13,2017-08-27 00:00:00+00:00,2.0564
14,2017-08-28 00:00:00+00:00,0.9055
15,2017-08-29 00:00:00+00:00,2.2989
16,2017-08-30 00:00:00+00:00,-0.1384
17,2017-08-31 00:00:00+00:00,1.5275
18,2017-09-01 00:00:00+00:00,3.0065
19,2017-09-02 00:00:00+00:00,1.1494
20,2017-09-03 00:00:00+00:00,1.9226
21,2017-09-04 00:00:00+00:00,-0.4598
22,2017-09-05 00:00:00+00:00,-0.0724
23,2017-09-06 00:00:00+00:00,-0.0125
24,2017-09-07 00:00:00+00:00,1.7561
25,2017-09-08 00:00:00+00:00,-1.5272
26,2017-09-09 00:00:00+00:00,-2.7458
27,2017-09-10 00:00:00+00:00,0.0
28,2017-09-11 00:00:00+00:00,0.971
29,2017-09-12 00:00:00+00:00,1.0131
30,2017-09-13 00:00:00+00:00,0.5083
31,2017-09-14 00:00:00+00:00,0.3225
32,2017-09-15 00:00:00+00:00,-0.4863
33,2017-09-16 00:00:00+00:00,0.0
34,2017-09-17 00:00:00+00:00,0.0
35,2017-09-18 00:00:00+00:00,0.6768
36,2017-09-19 00:00:00+00:00,-0.0039
37,2017-09-20 00:00:00+00:00,-0.0492
38,2017-09-21 00:00:00+00:00,0.3284
39,2017-09-22 00:00:00+00:00,-1.6696
40,2017-09-23 00:00:00+00:00,1.2952
41,2017-09-24 00:00:00+00:00,1.9653
42,2017-09-25 00:00:00+00:00,1.1159
43,2017-09-26 00:00:00+00:00,-0.2415
44,2017-09-27 00:00:00+00:00,1.3752
45,2017-09-28 00:00:00+00:00,0.6345
46,2017-09-29 00:00:00+00:00,-4.6738
47,2017-09-30 00:00:00+00:00,0.0921
48,2017-10-01 00:00:00+00:00,0.0
49,2017-10-02 00:00:00+00:00,-1.7352
50,2017-10-03 00:00:00+00:00,-0.1198
51,2017-10-04 00:00:00+00:00,1.1008
52,2017-10-05 00:00:00+00:00,0.2173
