,datetime,Article Count,All Articles
0,2017-08-14 00:00:00+00:00,4,560000
1,2017-08-15 00:00:00+00:00,5,640227
2,2017-08-16 00:00:00+00:00,2,639190
3,2017-08-17 00:00:00+00:00,1,658802
4,2017-08-18 00:00:00+00:00,1,570503
5,2017-08-19 00:00:00+00:00,0,422148
6,2017-08-20 00:00:00+00:00,0,369867
7,2017-08-21 00:00:00+00:00,1,597743
8,2017-08-22 00:00:00+00:00,4,611343
9,2017-08-23 00:00:00+00:00,5,650017
10,2017-08-24 00:00:00+00:00,3,265654
11,2017-08-25 00:00:00+00:00,7,538796
12,2017-08-26 00:00:00+00:00,3,435928
13,2017-08-27 00:00:00+00:00,3,383250
14,2017-08-28 00:00:00+00:00,3,390043
15,2017-08-29 00:00:00+00:00,1,670206
16,2017-08-30 00:00:00+00:00,2,682102
17,2017-08-31 00:00:00+00:00,4,587787
18,2017-09-01 00:00:00+00:00,1,579761
19,2017-09-02 00:00:00+00:00,1,417828
20,2017-09-03 00:00:00+00:00,2,375844
21,2017-09-04 00:00:00+00:00,5,537094
22,2017-09-05 00:00:00+00:00,5,610794
23,2017-09-06 00:00:00+00:00,3,683987
24,2017-09-07 00:00:00+00:00,11,668171
25,2017-09-08 00:00:00+00:00,5,647998
26,2017-09-09 00:00:00+00:00,2,429960
27,2017-09-10 00:00:00+00:00,0,411500
28,2017-09-11 00:00:00+00:00,3,643116
29,2017-09-12 00:00:00+00:00,2,698020
30,2017-09-13 00:00:00+00:00,15,679735
31,2017-09-14 00:00:00+00:00,8,684334
32,2017-09-15 00:00:00+00:00,5,568382
33,2017-09-16 00:00:00+00:00,0,408913
34,2017-09-17 00:00:00+00:00,0,402122
35,2017-09-18 00:00:00+00:00,1,626067
36,2017-09-19 00:00:00+00:00,5,676489
37,2017-09-20 00:00:00+00:00,3,698366
38,2017-09-21 00:00:00+00:00,2,697649
39,2017-09-22 00:00:00+00:00,2,605271
40,2017-09-23 00:00:00+00:00,2,443473
41,2017-09-24 00:00:00+00:00,1,384082
42,2017-09-25 00:00:00+00:00,6,651733
43,2017-09-26 00:00:00+00:00,1,652905
44,2017-09-27 00:00:00+00:00,1,622285
45,2017-09-28 00:00:00+00:00,7,652886
46,2017-09-29 00:00:00+00:00,2,597897
47,2017-09-30 00:00:00+00:00,1,387916
48,2017-10-01 00:00:00+00:00,0,348336
49,2017-10-02 00:00:00+00:00,3,580615
50,2017-10-03 00:00:00+00:00,2,657347
51,2017-10-04 00:00:00+00:00,6,589476
52,2017-10-05 00:00:00+00:00,7,655879
53,2017-10-06 00:00:00+00:00,4,575176
54,2017-10-07 00:00:00+00:00,1,415685
55,2017-10-08 00:00:00+00:00,0,387895
56,2017-10-09 00:00:00+00:00,0,641327
57,2017-10-10 00:00:00+00:00,4,635922
58,2017-10-11 00:00:00+00:00,0,675532
59,2017-10-12 00:00:00+00:00,2,684010
60,2017-10-13 00:00:00+00:00,0,661628
61,2017-10-14 00:00:00+00:00,1,415407
62,2017-10-15 00:00:00+00:00,3,408069
63,2017-10-16 00:00:00+00:00,5,601534
64,2017-10-17 00:00:00+00:00,7,719074
65,2017-10-18 00:00:00+00:00,8,645581
66,2017-10-19 00:00:00+00:00,1,706615
67,2017-10-20 00:00:00+00:00,4,705739
68,2017-10-21 00:00:00+00:00,37,420431
69,2017-10-22 00:00:00+00:00,25,426803
70,2017-10-23 00:00:00+00:00,4,691172
71,2017-10-24 00:00:00+00:00,6,701093
72,2017-10-25 00:00:00+00:00,3,707073
73,2017-10-26 00:00:00+00:00,3,748252
74,2017-10-27 00:00:00+00:00,1,662645
75,2017-10-28 00:00:00+00:00,0,430856
76,2017-10-29 00:00:00+00:00,0,402275
77,2017-10-30 00:00:00+00:00,6,648194
78,2017-10-31 00:00:00+00:00,2,713776
79,2017-11-01 00:00:00+00:00,4,705234
80,2017-11-02 00:00:00+00:00,4,680334
81,2017-11-03 00:00:00+00:00,7,696481
82,2017-11-04 00:00:00+00:00,2,426894
83,2017-11-05 00:00:00+00:00,2,393052
84,2017-11-06 00:00:00+00:00,5,659873
85,2017-11-07 00:00:00+00:00,2,733233
86,2017-11-08 00:00:00+00:00,2,708394
87,2017-11-09 00:00:00+00:00,1,730383
88,2017-11-10 00:00:00+00:00,4,687141
89,2017-11-11 00:00:00+00:00,3,426572
90,2017-11-12 00:00:00+00:00,0,402133
91,2017-11-13 00:00:00+00:00,3,682491
92,2017-11-14 00:00:00+00:00,2,734872
93,2017-11-15 00:00:00+00:00,9,742764
94,2017-11-16 00:00:00+00:00,16,630736
95,2017-11-17 00:00:00+00:00,9,676637
96,2017-11-18 00:00:00+00:00,8,409283
97,2017-11-19 00:00:00+00:00,2,387959
98,2017-11-20 00:00:00+00:00,15,644099
99,2017-11-21 00:00:00+00:00,13,719406
100,2017-11-22 00:00:00+00:00,9,667079
101,2017-11-23 00:00:00+00:00,9,575169
102,2017-11-24 00:00:00+00:00,6,594491
103,2017-11-25 00:00:00+00:00,3,376547
104,2017-11-26 00:00:00+00:00,11,377487
105,2017-11-27 00:00:00+00:00,24,599212
106,2017-11-28 00:00:00+00:00,9,713850
107,2017-11-29 00:00:00+00:00,19,726734
108,2017-11-30 00:00:00+00:00,14,702677
109,2017-12-03 00:00:00+00:00,7,347532
110,2017-12-04 00:00:00+00:00,15,603840
111,2017-12-05 00:00:00+00:00,15,665504
112,2017-12-06 00:00:00+00:00,14,669094
113,2017-12-07 00:00:00+00:00,16,682878
114,2017-12-08 00:00:00+00:00,6,645343
115,2017-12-09 00:00:00+00:00,15,392702
116,2017-12-10 00:00:00+00:00,5,386041
117,2017-12-11 00:00:00+00:00,14,562684
118,2017-12-12 00:00:00+00:00,16,668426
119,2017-12-13 00:00:00+00:00,22,711463
120,2017-12-14 00:00:00+00:00,14,680273
121,2017-12-15 00:00:00+00:00,12,611220
122,2017-12-16 00:00:00+00:00,11,367642
123,2017-12-17 00:00:00+00:00,8,354372
124,2017-12-18 00:00:00+00:00,16,568589
125,2017-12-19 00:00:00+00:00,17,618096
126,2017-12-20 00:00:00+00:00,14,611544
127,2017-12-21 00:00:00+00:00,19,635258
128,2017-12-22 00:00:00+00:00,18,577086
129,2017-12-23 00:00:00+00:00,5,405042
130,2017-12-24 00:00:00+00:00,2,351541
131,2017-12-25 00:00:00+00:00,2,347346
132,2017-12-26 00:00:00+00:00,1,440947
133,2017-12-27 00:00:00+00:00,4,519620
134,2017-12-28 00:00:00+00:00,5,561053
135,2017-12-29 00:00:00+00:00,4,524027
136,2017-12-30 00:00:00+00:00,5,362344
137,2017-12-31 00:00:00+00:00,8,323669
138,2018-01-01 00:00:00+00:00,5,372641
139,2018-01-02 00:00:00+00:00,8,508097
140,2018-01-03 00:00:00+00:00,5,623867
141,2018-01-04 00:00:00+00:00,8,607039
142,2018-01-05 00:00:00+00:00,8,537361
143,2018-01-06 00:00:00+00:00,2,431894
144,2018-01-07 00:00:00+00:00,1,338104
145,2018-01-08 00:00:00+00:00,11,618339
146,2018-01-09 00:00:00+00:00,13,624128
147,2018-01-10 00:00:00+00:00,12,634107
148,2018-01-11 00:00:00+00:00,7,579123
149,2018-01-12 00:00:00+00:00,10,597977
150,2018-01-13 00:00:00+00:00,7,407765
