date,ethereum,ETH,ether,isPartial
01/04/2015 00:00,0,12,53,FALSE
01/04/2015 01:00,0,12,29,FALSE
01/04/2015 02:00,12,6,42,FALSE
01/04/2015 03:00,0,25,44,FALSE
01/04/2015 04:00,6,13,33,FALSE
01/04/2015 05:00,0,31,55,FALSE
01/04/2015 06:00,0,28,5,FALSE
01/04/2015 07:00,0,35,48,FALSE
01/04/2015 08:00,0,59,36,FALSE
01/04/2015 09:00,0,49,31,FALSE
01/04/2015 10:00,0,44,26,FALSE
01/04/2015 11:00,0,58,23,FALSE
01/04/2015 12:00,7,39,35,FALSE
01/04/2015 13:00,0,36,29,FALSE
01/04/2015 14:00,0,25,19,FALSE
01/04/2015 15:00,0,13,32,FALSE
01/04/2015 16:00,0,3,27,FALSE
01/04/2015 17:00,3,20,30,FALSE
01/04/2015 18:00,0,11,32,FALSE
01/04/2015 19:00,4,18,33,FALSE
01/04/2015 20:00,0,8,28,FALSE
01/04/2015 21:00,5,33,14,FALSE
01/04/2015 22:00,5,28,27,FALSE
01/04/2015 23:00,0,12,30,FALSE
02/04/2015 00:00,0,24,42,FALSE
02/04/2015 01:00,0,12,72,FALSE
02/04/2015 02:00,0,6,56,FALSE
02/04/2015 03:00,0,7,26,FALSE
02/04/2015 04:00,0,20,40,FALSE
02/04/2015 05:00,0,0,44,FALSE
02/04/2015 06:00,0,39,45,FALSE
02/04/2015 07:00,0,32,27,FALSE
02/04/2015 08:00,0,47,23,FALSE
02/04/2015 09:00,0,47,14,FALSE
02/04/2015 10:00,0,40,36,FALSE
02/04/2015 11:00,4,21,33,FALSE
02/04/2015 12:00,0,30,26,FALSE
02/04/2015 13:00,0,41,21,FALSE
02/04/2015 14:00,0,34,17,FALSE
02/04/2015 15:00,0,31,34,FALSE
02/04/2015 16:00,0,24,21,FALSE
02/04/2015 17:00,4,33,47,FALSE
02/04/2015 18:00,0,19,41,FALSE
02/04/2015 19:00,0,19,46,FALSE
02/04/2015 20:00,4,21,34,FALSE
02/04/2015 21:00,5,5,15,FALSE
02/04/2015 22:00,0,11,34,FALSE
02/04/2015 23:00,0,51,50,FALSE
03/04/2015 00:00,0,6,39,FALSE
03/04/2015 01:00,0,6,19,FALSE
03/04/2015 02:00,0,13,26,FALSE
03/04/2015 03:00,0,20,61,FALSE
03/04/2015 04:00,0,14,7,FALSE
03/04/2015 05:00,0,27,13,FALSE
03/04/2015 06:00,6,6,24,FALSE
03/04/2015 07:00,0,20,53,FALSE
03/04/2015 08:00,0,5,20,FALSE
03/04/2015 09:00,0,20,35,FALSE
03/04/2015 10:00,0,24,24,FALSE
03/04/2015 11:00,0,41,27,FALSE
03/04/2015 12:00,0,21,38,FALSE
03/04/2015 13:00,0,19,35,FALSE
03/04/2015 14:00,0,22,26,FALSE
03/04/2015 15:00,0,26,22,FALSE
03/04/2015 16:00,0,26,37,FALSE
03/04/2015 17:00,4,23,11,FALSE
03/04/2015 18:00,0,16,28,FALSE
03/04/2015 19:00,0,30,25,FALSE
03/04/2015 20:00,0,23,14,FALSE
03/04/2015 21:00,5,15,35,FALSE
03/04/2015 22:00,0,0,23,FALSE
03/04/2015 23:00,0,0,19,FALSE
04/04/2015 00:00,0,20,40,FALSE
04/04/2015 01:00,7,0,41,FALSE
04/04/2015 02:00,0,0,14,FALSE
04/04/2015 03:00,0,7,29,FALSE
04/04/2015 04:00,0,7,52,FALSE
04/04/2015 05:00,0,0,43,FALSE
04/04/2015 06:00,0,0,26,FALSE
04/04/2015 07:00,0,22,32,FALSE
04/04/2015 08:00,0,22,5,FALSE
04/04/2015 09:00,0,11,22,FALSE
04/04/2015 10:00,0,26,21,FALSE
04/04/2015 11:00,0,10,10,FALSE
04/04/2015 12:00,0,32,18,FALSE
04/04/2015 13:00,4,25,4,FALSE
04/04/2015 14:00,0,8,24,FALSE
04/04/2015 15:00,0,12,20,FALSE
04/04/2015 16:00,0,40,48,FALSE
04/04/2015 17:00,0,12,16,FALSE
04/04/2015 18:00,8,9,34,FALSE
04/04/2015 19:00,4,14,18,FALSE
04/04/2015 20:00,5,10,19,FALSE
04/04/2015 21:00,10,11,37,FALSE
04/04/2015 22:00,0,18,18,FALSE
04/04/2015 23:00,0,0,20,FALSE
