date,ethereum,ETH,isPartial
30/04/2015 00:00,0,7,FALSE
30/04/2015 01:00,0,43,FALSE
30/04/2015 02:00,0,7,FALSE
30/04/2015 03:00,0,16,FALSE
30/04/2015 04:00,0,32,FALSE
30/04/2015 05:00,0,38,FALSE
30/04/2015 06:00,0,47,FALSE
30/04/2015 07:00,0,59,FALSE
30/04/2015 08:00,0,51,FALSE
30/04/2015 09:00,0,67,FALSE
30/04/2015 10:00,0,21,FALSE
30/04/2015 11:00,0,34,FALSE
30/04/2015 12:00,0,27,FALSE
30/04/2015 13:00,0,41,FALSE
30/04/2015 14:00,0,24,FALSE
30/04/2015 15:00,0,29,FALSE
30/04/2015 16:00,4,21,FALSE
30/04/2015 17:00,0,31,FALSE
30/04/2015 18:00,0,9,FALSE
30/04/2015 19:00,0,19,FALSE
30/04/2015 20:00,0,10,FALSE
30/04/2015 21:00,0,17,FALSE
30/04/2015 22:00,0,7,FALSE
30/04/2015 23:00,0,22,FALSE
01/05/2015 00:00,0,8,FALSE
01/05/2015 01:00,0,8,FALSE
01/05/2015 02:00,0,16,FALSE
01/05/2015 03:00,0,8,FALSE
01/05/2015 04:00,0,0,FALSE
01/05/2015 05:00,0,0,FALSE
01/05/2015 06:00,0,16,FALSE
01/05/2015 07:00,0,45,FALSE
01/05/2015 08:00,6,26,FALSE
01/05/2015 09:00,0,25,FALSE
01/05/2015 10:00,0,49,FALSE
01/05/2015 11:00,0,39,FALSE
01/05/2015 12:00,0,31,FALSE
01/05/2015 13:00,0,14,FALSE
01/05/2015 14:00,0,35,FALSE
01/05/2015 15:00,4,22,FALSE
01/05/2015 16:00,0,0,FALSE
01/05/2015 17:00,0,5,FALSE
01/05/2015 18:00,5,9,FALSE
01/05/2015 19:00,0,30,FALSE
01/05/2015 20:00,11,5,FALSE
01/05/2015 21:00,6,18,FALSE
01/05/2015 22:00,0,14,FALSE
01/05/2015 23:00,8,15,FALSE
02/05/2015 00:00,0,16,FALSE
02/05/2015 01:00,0,24,FALSE
02/05/2015 02:00,0,8,FALSE
02/05/2015 03:00,0,9,FALSE
02/05/2015 04:00,9,18,FALSE
02/05/2015 05:00,0,9,FALSE
02/05/2015 06:00,24,24,FALSE
02/05/2015 07:00,0,39,FALSE
02/05/2015 08:00,0,27,FALSE
02/05/2015 09:00,0,20,FALSE
02/05/2015 10:00,0,0,FALSE
02/05/2015 11:00,0,24,FALSE
02/05/2015 12:00,0,6,FALSE
02/05/2015 13:00,5,31,FALSE
02/05/2015 14:00,5,24,FALSE
02/05/2015 15:00,0,10,FALSE
02/05/2015 16:00,0,19,FALSE
02/05/2015 17:00,0,20,FALSE
02/05/2015 18:00,5,10,FALSE
02/05/2015 19:00,0,16,FALSE
02/05/2015 20:00,0,35,FALSE
02/05/2015 21:00,0,32,FALSE
02/05/2015 22:00,0,36,FALSE
02/05/2015 23:00,0,8,FALSE
03/05/2015 00:00,0,8,FALSE
03/05/2015 01:00,0,8,FALSE
03/05/2015 02:00,0,0,FALSE
03/05/2015 03:00,0,25,FALSE
03/05/2015 04:00,0,18,FALSE
03/05/2015 05:00,0,9,FALSE
03/05/2015 06:00,0,8,FALSE
03/05/2015 07:00,0,7,FALSE
03/05/2015 08:00,0,7,FALSE
03/05/2015 09:00,0,20,FALSE
03/05/2015 10:00,0,25,FALSE
03/05/2015 11:00,0,41,FALSE
03/05/2015 12:00,0,27,FALSE
03/05/2015 13:00,0,20,FALSE
03/05/2015 14:00,5,24,FALSE
03/05/2015 15:00,5,33,FALSE
03/05/2015 16:00,0,14,FALSE
03/05/2015 17:00,0,19,FALSE
03/05/2015 18:00,5,10,FALSE
03/05/2015 19:00,0,41,FALSE
03/05/2015 20:00,5,27,FALSE
03/05/2015 21:00,6,43,FALSE
03/05/2015 22:00,0,22,FALSE
03/05/2015 23:00,0,8,FALSE
04/05/2015 00:00,0,8,FALSE
04/05/2015 01:00,0,15,FALSE
04/05/2015 02:00,0,8,FALSE
04/05/2015 03:00,0,16,FALSE
04/05/2015 04:00,0,41,FALSE
04/05/2015 05:00,8,31,FALSE
04/05/2015 06:00,0,75,FALSE
04/05/2015 07:00,5,60,FALSE
04/05/2015 08:00,0,51,FALSE
04/05/2015 09:00,0,100,FALSE
04/05/2015 10:00,5,59,FALSE
04/05/2015 11:00,5,48,FALSE
04/05/2015 12:00,0,17,FALSE
04/05/2015 13:00,0,36,FALSE
04/05/2015 14:00,0,39,FALSE
04/05/2015 15:00,0,55,FALSE
04/05/2015 16:00,0,8,FALSE
04/05/2015 17:00,4,49,FALSE
04/05/2015 18:00,0,25,FALSE
04/05/2015 19:00,0,13,FALSE
04/05/2015 20:00,0,19,FALSE
04/05/2015 21:00,6,44,FALSE
04/05/2015 22:00,0,13,FALSE
04/05/2015 23:00,7,0,FALSE
05/05/2015 00:00,0,14,FALSE
05/05/2015 01:00,0,0,FALSE
05/05/2015 02:00,0,0,FALSE
05/05/2015 03:00,0,16,FALSE
05/05/2015 04:00,0,40,FALSE
05/05/2015 05:00,0,30,FALSE
05/05/2015 06:00,0,60,FALSE
05/05/2015 07:00,5,49,FALSE
05/05/2015 08:00,0,68,FALSE
05/05/2015 09:00,0,71,FALSE
05/05/2015 10:00,0,42,FALSE
05/05/2015 11:00,0,28,FALSE
05/05/2015 12:00,4,56,FALSE
05/05/2015 13:00,4,56,FALSE
05/05/2015 14:00,0,57,FALSE
05/05/2015 15:00,4,24,FALSE
05/05/2015 16:00,4,24,FALSE
05/05/2015 17:00,0,33,FALSE
05/05/2015 18:00,0,21,FALSE
05/05/2015 19:00,0,38,FALSE
05/05/2015 20:00,0,28,FALSE
05/05/2015 21:00,5,11,FALSE
05/05/2015 22:00,7,20,FALSE
05/05/2015 23:00,0,14,FALSE
06/05/2015 00:00,0,22,FALSE
06/05/2015 01:00,0,14,FALSE
06/05/2015 02:00,7,7,FALSE
06/05/2015 03:00,0,0,FALSE
06/05/2015 04:00,0,24,FALSE
06/05/2015 05:00,7,7,FALSE
06/05/2015 06:00,0,46,FALSE
06/05/2015 07:00,0,48,FALSE
06/05/2015 08:00,6,79,FALSE
06/05/2015 09:00,0,49,FALSE
06/05/2015 10:00,0,63,FALSE
06/05/2015 11:00,5,14,FALSE
06/05/2015 12:00,4,47,FALSE
06/05/2015 13:00,0,35,FALSE
06/05/2015 14:00,0,39,FALSE
06/05/2015 15:00,4,32,FALSE
06/05/2015 16:00,0,12,FALSE
06/05/2015 17:00,4,46,FALSE
06/05/2015 18:00,0,17,FALSE
06/05/2015 19:00,4,13,FALSE
06/05/2015 20:00,0,5,FALSE
06/05/2015 21:00,0,38,FALSE
06/05/2015 22:00,0,26,FALSE
06/05/2015 23:00,0,21,FALSE
07/05/2015 00:00,0,7,FALSE
07/05/2015 00:00,0,9,FALSE
07/05/2015 01:00,0,27,FALSE
07/05/2015 02:00,9,19,FALSE
07/05/2015 03:00,0,20,FALSE
07/05/2015 04:00,0,39,FALSE
07/05/2015 05:00,0,28,FALSE
07/05/2015 06:00,0,42,FALSE
07/05/2015 07:00,0,49,FALSE
07/05/2015 08:00,0,100,FALSE
07/05/2015 09:00,0,77,FALSE
07/05/2015 10:00,0,67,FALSE
07/05/2015 11:00,0,55,FALSE
07/05/2015 12:00,0,44,FALSE
07/05/2015 13:00,0,57,FALSE
07/05/2015 14:00,0,60,FALSE
07/05/2015 15:00,0,41,FALSE
07/05/2015 16:00,0,27,FALSE
07/05/2015 17:00,0,38,FALSE
07/05/2015 18:00,0,34,FALSE
07/05/2015 19:00,0,40,FALSE
07/05/2015 20:00,0,31,FALSE
07/05/2015 21:00,0,36,FALSE
07/05/2015 22:00,0,34,FALSE
07/05/2015 23:00,19,47,FALSE
08/05/2015 00:00,19,10,FALSE
08/05/2015 01:00,0,0,FALSE
08/05/2015 02:00,0,19,FALSE
08/05/2015 03:00,10,10,FALSE
08/05/2015 04:00,0,10,FALSE
08/05/2015 05:00,0,59,FALSE
08/05/2015 06:00,9,43,FALSE
08/05/2015 07:00,0,42,FALSE
08/05/2015 08:00,0,96,FALSE
08/05/2015 09:00,7,87,FALSE
08/05/2015 10:00,0,91,FALSE
08/05/2015 11:00,0,57,FALSE
08/05/2015 12:00,0,76,FALSE
08/05/2015 13:00,0,54,FALSE
08/05/2015 14:00,5,37,FALSE
08/05/2015 15:00,5,16,FALSE
08/05/2015 16:00,0,17,FALSE
08/05/2015 17:00,6,28,FALSE
08/05/2015 18:00,6,6,FALSE
08/05/2015 19:00,0,67,FALSE
08/05/2015 20:00,0,13,FALSE
08/05/2015 21:00,0,23,FALSE
08/05/2015 22:00,0,35,FALSE
08/05/2015 23:00,0,39,FALSE
09/05/2015 00:00,0,0,FALSE
09/05/2015 01:00,0,21,FALSE
09/05/2015 02:00,0,11,FALSE
09/05/2015 03:00,0,22,FALSE
09/05/2015 04:00,0,46,FALSE
09/05/2015 05:00,0,54,FALSE
09/05/2015 06:00,0,41,FALSE
09/05/2015 07:00,0,49,FALSE
09/05/2015 08:00,0,26,FALSE
