date,ethereum,ETH,isPartial
2022-08-06 00:00:00,60,30,False
2022-08-06 01:00:00,56,29,False
2022-08-06 02:00:00,51,28,False
2022-08-06 03:00:00,49,30,False
2022-08-06 04:00:00,54,27,False
2022-08-06 05:00:00,58,29,False
2022-08-06 06:00:00,58,30,False
2022-08-06 07:00:00,60,30,False
2022-08-06 08:00:00,58,30,False
2022-08-06 09:00:00,54,29,False
2022-08-06 10:00:00,57,30,False
2022-08-06 11:00:00,54,25,False
2022-08-06 12:00:00,50,26,False
2022-08-06 13:00:00,51,27,False
2022-08-06 14:00:00,52,26,False
2022-08-06 15:00:00,50,27,False
2022-08-06 16:00:00,52,24,False
2022-08-06 17:00:00,49,25,False
2022-08-06 18:00:00,55,25,False
2022-08-06 19:00:00,57,26,False
2022-08-06 20:00:00,56,27,False
2022-08-06 21:00:00,59,26,False
2022-08-06 22:00:00,58,27,False
2022-08-06 23:00:00,54,25,False
2022-08-07 00:00:00,50,24,False
2022-08-07 01:00:00,47,24,False
2022-08-07 02:00:00,45,23,False
2022-08-07 03:00:00,46,25,False
2022-08-07 04:00:00,46,24,False
2022-08-07 05:00:00,51,25,False
2022-08-07 06:00:00,57,26,False
2022-08-07 07:00:00,55,28,False
2022-08-07 08:00:00,54,29,False
2022-08-07 09:00:00,55,28,False
2022-08-07 10:00:00,54,28,False
2022-08-07 11:00:00,51,27,False
2022-08-07 12:00:00,54,26,False
2022-08-07 13:00:00,53,28,False
2022-08-07 14:00:00,51,26,False
2022-08-07 15:00:00,52,30,False
2022-08-07 16:00:00,51,26,False
2022-08-07 17:00:00,53,26,False
2022-08-07 18:00:00,57,29,False
2022-08-07 19:00:00,59,27,False
2022-08-07 20:00:00,66,27,False
2022-08-07 21:00:00,65,31,False
2022-08-07 22:00:00,62,30,False
2022-08-07 23:00:00,60,28,False
2022-08-08 00:00:00,51,26,False
2022-08-08 01:00:00,51,25,False
2022-08-08 02:00:00,51,27,False
2022-08-08 03:00:00,53,29,False
2022-08-08 04:00:00,56,31,False
2022-08-08 05:00:00,60,32,False
2022-08-08 06:00:00,63,34,False
2022-08-08 07:00:00,67,36,False
2022-08-08 08:00:00,63,38,False
2022-08-08 09:00:00,77,41,False
2022-08-08 10:00:00,76,38,False
2022-08-08 11:00:00,72,37,False
2022-08-08 12:00:00,85,40,False
2022-08-08 13:00:00,83,36,False
2022-08-08 14:00:00,82,38,False
2022-08-08 15:00:00,78,38,False
2022-08-08 16:00:00,73,37,False
2022-08-08 17:00:00,74,33,False
2022-08-08 18:00:00,74,35,False
2022-08-08 19:00:00,78,33,False
2022-08-08 20:00:00,83,38,False
2022-08-08 21:00:00,81,34,False
2022-08-08 22:00:00,73,36,False
2022-08-08 23:00:00,68,34,False
2022-08-09 00:00:00,60,31,False
2022-08-09 01:00:00,52,31,False
2022-08-09 02:00:00,55,31,False
2022-08-09 03:00:00,54,31,False
2022-08-09 04:00:00,66,33,False
2022-08-09 05:00:00,70,36,False
2022-08-09 06:00:00,63,37,False
2022-08-09 07:00:00,63,31,False
2022-08-09 08:00:00,67,40,False
2022-08-09 09:00:00,68,35,False
2022-08-09 10:00:00,70,33,False
2022-08-09 11:00:00,69,32,False
2022-08-09 12:00:00,73,33,False
2022-08-09 13:00:00,68,32,False
2022-08-09 14:00:00,73,35,False
2022-08-09 15:00:00,69,33,False
2022-08-09 16:00:00,66,32,False
2022-08-09 17:00:00,65,32,False
2022-08-09 18:00:00,70,29,False
2022-08-09 19:00:00,70,31,False
2022-08-09 20:00:00,71,31,False
2022-08-09 21:00:00,75,33,False
2022-08-09 22:00:00,66,33,False
2022-08-09 23:00:00,55,29,False
2022-08-10 00:00:00,52,28,False
2022-08-10 01:00:00,56,28,False
2022-08-10 02:00:00,52,31,False
2022-08-10 03:00:00,55,29,False
2022-08-10 04:00:00,58,29,False
2022-08-10 05:00:00,60,32,False
2022-08-10 06:00:00,62,33,False
2022-08-10 07:00:00,59,33,False
2022-08-10 08:00:00,51,33,False
2022-08-10 09:00:00,57,30,False
2022-08-10 10:00:00,62,29,False
2022-08-10 11:00:00,59,28,False
2022-08-10 12:00:00,68,36,False
2022-08-10 13:00:00,90,48,False
2022-08-10 14:00:00,85,44,False
2022-08-10 15:00:00,90,42,False
2022-08-10 16:00:00,82,39,False
2022-08-10 17:00:00,80,38,False
2022-08-10 18:00:00,84,35,False
2022-08-10 19:00:00,82,36,False
2022-08-10 20:00:00,83,36,False
2022-08-10 21:00:00,95,41,False
2022-08-10 22:00:00,89,40,False
2022-08-10 23:00:00,74,35,False
2022-08-11 00:00:00,62,38,False
2022-08-11 01:00:00,73,43,False
2022-08-11 02:00:00,83,53,False
2022-08-11 03:00:00,79,46,False
2022-08-11 04:00:00,89,43,False
2022-08-11 05:00:00,95,49,False
2022-08-11 06:00:00,94,48,False
2022-08-11 07:00:00,90,47,False
2022-08-11 08:00:00,86,45,False
2022-08-11 09:00:00,88,44,False
2022-08-11 10:00:00,88,41,False
2022-08-11 11:00:00,89,41,False
2022-08-11 12:00:00,100,49,False
2022-08-11 13:00:00,99,47,False
2022-08-11 14:00:00,98,47,False
2022-08-11 15:00:00,92,42,False
2022-08-11 16:00:00,92,39,False
2022-08-11 17:00:00,89,42,False
2022-08-11 18:00:00,89,41,False
